,Participant_ID,Trial,TargetPos,StimulusPos,Head_Position,Head_Rotation,Real2VirtHandDiff,ProprioceptiveVal,Target2StimDiff,Response,Answer,pRealHandAhead,JND,Bias,Experiment,RealHandPos,StartZone
188,vis_83ea3b75be,1,0.532,0.482,-0.239,357.038,0.721,-0.05,0.050000000000000044, 2nd,2.0,0.6425670976096947,-34.90420001177668,8.589641249040811,Vis,,
189,vis_83ea3b75be,2,0.332,0.282,-0.226,355.309,0.508,-0.05,0.050000000000000044, 2nd,2.0,0.6425670976096947,28.816280497293793,-19.712877126324425,Vis,,
190,vis_331a150c14,0,0.532,0.507,-0.209,350.633,0.716,-0.025,0.025000000000000022, 2nd,2.0,0.6425670976096947,-22.42737369921579,-14.512431242554177,Vis,,
191,vis_331a150c14,1,0.532,0.532,-0.231,353.244,0.763,0.0,0.0, 1st,0.0,0.0,-22.42737369921579,-14.512431242554177,Vis,,
192,vis_331a150c14,2,0.132,0.182,-0.233,348.257,0.41500000000000004,0.05,0.04999999999999999, 1st,1.0,1.0,-41.82718587964666,19.937204838039648,Vis,,
193,vis_331a150c14,3,0.332,0.332,-0.199,346.704,0.531,0.0,0.0, 1st,0.0,0.0,-19.352221710401302,-19.49732315855661,Vis,,
194,vis_331a150c14,4,0.332,0.232,-0.214,350.746,0.446,-0.1,0.1, 2nd,2.0,0.6425670976096947,-19.352221710401302,-19.49732315855661,Vis,,
195,vis_331a150c14,5,0.532,0.632,-0.212,349.745,0.844,0.1,0.09999999999999998, 1st,1.0,1.0,-22.42737369921579,-14.512431242554177,Vis,,
196,vis_331a150c14,6,0.132,0.132,-0.209,348.865,0.34099999999999997,0.0,0.0, 1st,0.0,0.0,-41.82718587964666,19.937204838039648,Vis,,
197,vis_331a150c14,7,0.132,0.232,-0.214,351.337,0.446,0.1,0.1, 1st,1.0,1.0,-41.82718587964666,19.937204838039648,Vis,,
198,vis_331a150c14,8,0.332,0.282,-0.207,350.111,0.489,-0.05,0.050000000000000044, 2nd,2.0,0.6425670976096947,-19.352221710401302,-19.49732315855661,Vis,,
199,vis_331a150c14,9,0.132,0.157,-0.23,348.004,0.387,0.025,0.024999999999999994, 1st,1.0,1.0,-41.82718587964666,19.937204838039648,Vis,,
200,vis_331a150c14,1,0.132,0.032,-0.23,350.087,0.262,-0.1,0.1, 2nd,2.0,0.6425670976096947,-41.82718587964666,19.937204838039648,Vis,,
201,vis_331a150c14,1,0.532,0.482,-0.162,356.86,0.644,-0.05,0.050000000000000044, 2nd,2.0,0.6425670976096947,-22.42737369921579,-14.512431242554177,Vis,,
